x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,target
8.99503,6.49020,10.45841,147.24835,-95.70432,6.09252,53.44988,46.55012,40.20484,59.79516,36.82970,76.42534,8.97684,4.59670,69.09324,90.40619,2.50483,27.64066,53.50437,17.04204,32.13745,-1.27318,-14.44702,-1.44594,-54.66863,2.27490,59.97960,0.78542,45.77567,45.23842,1.38555,135.15046,7.20042,4.19306,90.16488,70.96229,0.74963,170.70077,2.06782,43.16094,1.71580,3.79278,0.69144,0
9.97638,3.32314,13.40816,170.71438,-136.28692,-17.47649,70.11282,29.88718,53.08171,46.91829,58.48648,53.13998,10.59860,18.90728,61.96883,116.61434,6.65324,24.40601,47.31519,10.09490,32.80144,0.18424,2.31385,0.25294,3.26190,3.08064,55.83580,1.07992,39.14138,50.00640,1.29646,139.90053,8.59135,4.15395,88.83377,60.08925,1.13692,92.68364,1.27588,40.64005,2.75901,5.51732,1.46185,1
64.49493,64.00258,186.80254,0.96869,0.44507,0.44507,66.08499,33.91501,65.46023,34.53977,27.82609,0.00961,34.51611,11.49871,62.18917,646933.91304,0.49235,36.98989,5049.78889,31.79390,107.13718,1.15465,11.97712,1.44223,16.38316,6.98708,92.55462,0.56206,18.42242,40.41479,0.18365,244.79604,7.04267,0.05559,92.60904,1.78937,1.24416,437.76471,0.85294,40.69975,3.05097,7.54914,4.31452,1
22.06189,21.20710,31.10189,0.74284,-0.74284,-0.74284,46.27910,53.72090,46.11522,53.88478,3.17575,40.99501,29.93924,34.53550,4.75844,11.60737,0.85479,52.50128,370.72579,3.57419,74.01402,0.57453,7.24560,0.60056,7.81429,2.42869,26.39299,6.77334,79.43616,92.66184,0.15368,106.49784,4.29399,1.86529,38.79877,17.94922,5.64553,255.44615,2.76923,65.49167,8.52677,9.20203,0.52158,1
10.63356,0.64305,12.60584,144.28822,-101.79040,-9.89106,80.02069,19.97931,64.67771,35.32229,64.64936,67.74583,10.21839,11.27568,73.91615,109.10805,9.99052,13.36437,24.99561,9.52715,15.84315,0.56950,8.36500,0.69144,6.09193,2.48542,38.06185,1.97475,53.02823,57.02886,2.21984,128.97083,10.51682,5.96162,84.19136,61.55155,1.46521,96.64830,0.00000,39.34564,3.72395,6.52994,0.58615,1
12.91890,8.57531,15.27381,57.76366,-8.53274,1.07076,51.48061,48.51939,44.01818,55.98182,30.32408,72.82197,5.09265,3.52853,68.28815,93.77410,4.34360,27.09703,43.07717,4.07436,32.03638,1.28549,12.56818,1.46185,38.20349,2.97500,69.83989,0.75906,24.10389,73.92752,0.74985,117.74868,6.60905,3.10836,89.69801,49.67428,1.52170,102.03556,0.04444,48.30039,3.14913,4.25975,0.36077,0
13.13572,8.52092,15.67020,62.55779,-3.79143,-0.18849,75.83625,24.16375,67.61884,32.38116,63.46155,70.67208,6.66772,13.21597,63.05594,89.22327,4.61480,33.53182,60.20844,18.91035,40.00166,3.92426,5.43067,4.31452,5.96417,2.43351,52.39649,1.33737,40.73864,70.68288,1.05863,114.33833,9.52054,6.21349,87.68296,65.43062,1.41839,134.26809,3.13158,42.19889,3.28281,4.64442,0.30298,0
9.78259,6.36623,12.02335,165.75959,-128.48496,-7.10823,70.86879,29.13121,54.65322,45.34678,58.59685,62.50381,16.10370,7.44182,70.69569,113.10621,3.41635,25.85481,42.54193,11.59412,31.77702,0.23765,1.83516,0.30298,2.11585,2.96605,51.10194,1.49289,50.89288,50.53922,1.38829,137.46272,9.04098,4.72968,85.82774,61.72045,1.23050,101.76846,1.48454,41.33626,2.93339,5.80418,1.48251,1
10.72850,6.61434,12.54732,-23.52526,26.25256,0.14401,65.91244,34.08756,68.43635,31.56365,67.19495,62.33734,6.37764,19.30511,65.02757,104.31560,4.11416,28.89790,46.06850,14.85362,33.79700,1.88322,15.24516,2.21479,120.72736,3.26981,67.94514,0.91366,61.63933,30.80094,0.93494,163.89777,7.62818,3.72942,89.30368,71.55870,0.64469,92.20272,0.78509,43.12300,1.48227,4.81243,2.39521,1
12.50692,7.33340,15.60619,66.12671,-48.39807,3.54943,59.70492,40.29508,51.43451,48.56549,47.31402,56.74064,14.17758,16.76843,65.47411,115.39192,5.17352,21.07113,39.59842,9.97730,26.29266,6.54681,12.66505,6.71828,14.18400,3.07232,58.87392,1.31323,60.98885,41.26183,0.99061,154.65352,7.36049,3.45525,84.85962,61.60752,0.88093,127.13759,1.88313,40.30595,2.15324,5.21847,2.07463,1
11.53979,5.04957,14.30983,58.24485,-41.93608,-11.32216,60.03292,39.96708,53.31159,46.68841,50.04769,56.91439,9.91082,17.09396,65.54565,115.16535,6.49023,26.49574,47.41825,13.09586,32.85583,1.94094,11.88697,2.14799,14.29758,2.83773,59.51926,1.29009,61.79203,43.79003,0.83358,146.40600,7.16487,3.68721,84.74158,63.84769,0.97267,122.43816,2.96974,45.45809,2.08780,4.76775,1.84637,1
9.05181,3.71554,10.95358,15.72003,9.18782,9.85611,62.54369,37.45631,61.12075,38.87925,69.53676,58.26594,11.38317,12.99086,69.49865,119.27835,5.33627,22.43619,42.37817,8.71069,27.14999,6.82963,7.97280,9.06327,31.64200,2.36706,53.08513,1.18118,65.46090,40.46675,1.05698,142.02301,7.79036,4.51256,86.83414,71.43555,0.71344,97.10849,1.76036,38.82213,1.80441,4.45898,1.59759,1
95.69348,79.50933,44100.90090,0.03881,-0.03881,-0.03881,99.83188,0.16812,99.79474,0.20526,5.40541,0.21699,0.00000,0.00000,0.00000,0.00000,16.18415,94.84312,20300.00000,94.67501,43709.00901,2.00499,18.59682,2.36871,141.78788,13.17760,94.65038,0.73502,8.37976,63.00197,0.00977,156.89916,13.46887,0.28150,94.82521,3.10948,3.88427,68.51724,6.62069,40.00446,8.77138,13.92239,5.14124,1
12.79132,8.79951,15.80858,69.62921,-53.32142,3.20905,58.34221,41.65779,49.43572,50.56428,50.18482,58.50835,9.38889,21.86557,60.28176,103.03103,3.99181,29.78069,56.52840,12.34958,36.80548,1.38805,15.95703,1.54235,298.03696,2.84760,63.70584,1.13323,76.82665,32.99942,0.73196,154.99116,7.30774,3.97105,86.57465,72.91551,0.59129,134.58996,0.67293,39.88546,1.47505,4.46992,2.26291,1
